"version_number","configuration_id","report_date","aws_account_number","aws_region","storage_class","record_type","record_value","bucket_name","metric_name","metric_value"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","VersioningEnabledBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","MFADeleteEnabledBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","SSEKMSEnabledBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","ObjectOwnershipBucketOwnerEnforcedBucketCount","1"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","ObjectOwnershipBucketOwnerPreferredBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","ObjectOwnershipObjectWriterBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","TransferAccelerationEnabledBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","EventNotificationEnabledBucketCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","TransitionLifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","ExpirationLifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","NoncurrentVersionTransitionLifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","NoncurrentVersionExpirationLifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","AbortIncompleteMPULifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","ExpiredObjectDeleteMarkerLifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","","BUCKET","","product-media-1729614235054","TotalLifecycleRuleCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","STANDARD","BUCKET","","product-media-1729614235054","StorageBytes","2222811"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","STANDARD","BUCKET","","product-media-1729614235054","ObjectCount","87"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","STANDARD","BUCKET","","product-media-1729614235054","ReplicatedStorageBytes","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","STANDARD","BUCKET","","product-media-1729614235054","ReplicatedObjectCount","0"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","STANDARD","BUCKET","","product-media-1729614235054","EncryptedStorageBytes","2222811"
"V_1","saas-cost-attribution","2024-10-21","########","us-west-2","STANDARD","BUCKET","","product-media-1729614235054","EncryptedObjectCount","87"
